mode,policy,seed,shortfall_bps,completion_rate,filled_qty,avg_slippage_bps,fees_paid_x,gas_paid_x,route_concentration,mean_post_trade_gap_bps,arb_trade_count,arb_profit_x,n_steps,total_reward
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,11,122.2927,0.9997,49.9852,91.4332,209.6010,100.0000,0.5005,51.9376,14,106.0609,50,-0.012229
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,12,118.6277,0.9997,49.9852,93.9431,213.8381,100.0000,0.5033,54.5274,11,77.0142,50,-0.011863
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,13,113.8745,0.9997,49.9852,93.8822,213.6900,100.0000,0.5044,52.4379,19,87.1601,50,-0.011387
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,14,111.7585,0.9997,49.9852,88.4912,204.5437,100.0000,0.5174,54.7479,16,57.4927,50,-0.011176
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,15,120.1813,0.9997,49.9852,95.4940,216.4856,100.0000,0.5037,56.6114,19,110.6033,50,-0.012018
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,16,111.1749,0.9997,49.9852,95.4180,216.2412,100.0000,0.5004,61.0520,19,94.5937,50,-0.011117
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,17,116.1985,0.9997,49.9852,94.5143,214.7849,100.0000,0.5290,51.2108,14,102.0775,50,-0.011620
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,18,110.8752,0.9997,49.9852,89.6344,206.4029,100.0000,0.5199,59.0972,20,83.2985,50,-0.011088
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,19,116.6779,0.9997,49.9852,97.0508,219.0689,100.0000,0.5132,56.8797,13,93.1325,50,-0.011668
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,20,112.4368,0.9997,49.9852,94.6916,215.0356,100.0000,0.5174,55.3091,16,62.6347,50,-0.011244
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,21,103.7401,0.9997,49.9852,83.0595,195.2880,100.0000,0.5020,47.8998,12,55.5716,50,-0.010374
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,22,109.3536,0.9997,49.9852,93.5558,213.1040,100.0000,0.5050,51.6403,19,85.8726,50,-0.010935
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,23,101.5307,0.9997,49.9852,87.8921,203.4445,100.0000,0.5005,53.0044,14,58.3818,50,-0.010153
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,24,108.5479,0.9997,49.9852,93.9254,213.7371,100.0000,0.5000,51.9483,16,63.7766,50,-0.010855
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,25,111.7494,0.9997,49.9852,85.6541,199.7956,100.0000,0.5028,49.8960,20,51.2800,50,-0.011175
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,26,108.0445,0.9997,49.9852,90.1145,207.2318,100.0000,0.5057,53.6678,15,76.1587,50,-0.010804
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,27,109.6966,0.9997,49.9852,91.9911,210.4629,100.0000,0.5193,57.4687,17,90.8476,50,-0.010970
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,28,108.9890,0.9997,49.9852,92.2344,210.8491,100.0000,0.5011,49.2553,16,59.8215,50,-0.010899
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,29,112.9122,0.9997,49.9852,93.6778,213.3535,100.0000,0.5102,53.9340,15,74.0886,50,-0.011291
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,30,106.2140,0.9997,49.9852,90.8032,208.3883,100.0000,0.5004,53.3118,18,60.5288,50,-0.010621
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,31,100.2420,0.9997,49.9852,88.4909,204.4483,100.0000,0.5007,49.3256,15,59.4797,50,-0.010024
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,32,99.5389,0.9997,49.9852,87.9102,203.4679,100.0000,0.5005,49.8267,16,51.1554,50,-0.009954
DynamicDuopoly,twap|sigma=0.2|arb_speed=1,33,110.2504,0.9997,49.9852,97.0737,219.0775,100.0000,0.5096,52.5364,15,96.6604,50,-0.011025
