policy,seed_set,seed,shortfall_bps,completion_rate
twap,final,90189,103.5869,1.0000
stochastic_planner,final,90190,146.7340,1.0000
lookahead,final,90190,134.8955,1.0000
twap,final,90190,131.3907,1.0000
stochastic_planner,final,90191,132.1274,1.0000
lookahead,final,90191,124.7879,1.0000
twap,final,90191,126.2822,1.0000
stochastic_planner,final,90192,74.5233,1.0000
lookahead,final,90192,59.4135,1.0000
twap,final,90192,98.6222,1.0000
stochastic_planner,final,90193,97.3405,1.0000
lookahead,final,90193,99.7343,1.0000
twap,final,90193,111.1409,1.0000
stochastic_planner,final,90194,85.4389,1.0000
lookahead,final,90194,85.6586,1.0000
twap,final,90194,116.3651,1.0000
stochastic_planner,final,90195,53.4403,1.0000
lookahead,final,90195,45.3491,1.0000
twap,final,90195,95.6327,1.0000
stochastic_planner,final,90196,92.9328,1.0000
lookahead,final,90196,95.4157,1.0000
twap,final,90196,104.5419,1.0000
stochastic_planner,final,90197,45.1157,1.0000
lookahead,final,90197,58.2219,1.0000
twap,final,90197,100.8325,1.0000
stochastic_planner,final,90198,136.4701,1.0000
lookahead,final,90198,142.5927,1.0000
twap,final,90198,120.6233,1.0000
stochastic_planner,final,90199,76.2065,1.0000
lookahead,final,90199,74.1581,1.0000
twap,final,90199,107.6640,1.0000
stochastic_planner,final,90200,120.7596,1.0000
lookahead,final,90200,128.9906,1.0000
twap,final,90200,125.3123,1.0000
stochastic_planner,final,90201,85.1933,1.0000
lookahead,final,90201,83.4400,1.0000
twap,final,90201,114.0179,1.0000
stochastic_planner,final,90202,143.4284,1.0000
lookahead,final,90202,148.3362,1.0000
twap,final,90202,138.1866,1.0000
stochastic_planner,final,90203,191.4500,1.0000
lookahead,final,90203,189.3826,1.0000
twap,final,90203,165.2728,1.0000
stochastic_planner,final,90204,128.7969,1.0000
lookahead,final,90204,122.8047,1.0000
twap,final,90204,121.2353,1.0000
stochastic_planner,final,90205,127.0296,1.0000
lookahead,final,90205,128.5671,1.0000
twap,final,90205,133.6479,1.0000
stochastic_planner,final,90206,99.5815,1.0000
lookahead,final,90206,96.9097,1.0000
twap,final,90206,107.1239,1.0000
stochastic_planner,final,90207,116.3336,1.0000
lookahead,final,90207,118.0192,1.0000
twap,final,90207,121.2750,1.0000
stochastic_planner,final,90208,113.3430,1.0000
lookahead,final,90208,102.4493,1.0000
twap,final,90208,127.3725,1.0000
stochastic_planner,final,90209,61.7987,1.0000
lookahead,final,90209,57.4782,1.0000
twap,final,90209,85.6682,1.0000
stochastic_planner,final,90210,110.4423,1.0000
lookahead,final,90210,135.1229,1.0000
twap,final,90210,114.0340,1.0000
stochastic_planner,final,90211,133.2203,1.0000
lookahead,final,90211,134.8163,1.0000
twap,final,90211,124.0117,1.0000
stochastic_planner,final,90212,58.0390,1.0000
lookahead,final,90212,63.7606,1.0000
twap,final,90212,91.8689,1.0000
stochastic_planner,final,90213,122.4340,1.0000
lookahead,final,90213,124.1719,1.0000
