policy,agent_order,seed,shortfall_bps,completion_rate,forced_terminal_cost_bps,wait_share
dqn_order_random,random,90372,92.5082,1.0,2.1228,0.72
dqn_order_random,random,90373,106.0224,1.0,3.5938,0.74
dqn_order_random,random,90374,48.8206,1.0,0.9267,0.7
dqn_order_random,random,90375,118.6271,1.0,4.4473,0.72
dqn_order_random,random,90376,121.5244,1.0,4.2143,0.74
dqn_order_random,random,90377,104.3082,1.0,3.7287,0.76
dqn_order_random,random,90378,99.8456,1.0,2.5878,0.74
dqn_order_random,random,90379,107.7752,1.0,2.5658,0.74
dqn_order_random,random,90380,72.7712,1.0,2.3231,0.72
dqn_order_random,random,90381,85.01,1.0,1.9211,0.72
dqn_order_random,random,90382,84.4196,1.0,3.5383,0.74
dqn_order_random,random,90383,66.5906,1.0,2.1742,0.72
dqn_order_random,random,90384,83.4257,1.0,1.7566,0.76
dqn_order_random,random,90385,99.7294,1.0,4.0677,0.76
dqn_order_random,random,90386,101.8378,1.0,4.438,0.74
dqn_order_random,random,90387,101.6798,1.0,2.4126,0.72
dqn_order_random,random,90388,144.5632,1.0,5.8039,0.74
dqn_order_random,random,90389,114.5019,1.0,3.1662,0.72
dqn_order_random,random,90390,75.9522,1.0,1.8102,0.72
dqn_order_random,random,90391,93.855,1.0,1.5567,0.7
dqn_order_random,random,90392,54.9586,1.0,0.9377,0.7
dqn_order_random,random,90393,99.2378,1.0,2.9411,0.74
dqn_order_random,random,90394,85.1446,1.0,3.6148,0.72
dqn_order_random,random,90395,179.5717,1.0,81.926,0.84
dqn_order_random,random,90396,57.3588,1.0,1.0052,0.78
dqn_order_random,random,90397,66.9043,1.0,1.818,0.76
dqn_order_random,random,90398,194.607,1.0,141.2553,0.84
dqn_order_random,random,90399,77.7305,1.0,1.4154,0.72
dqn_order_random,random,90400,105.1336,1.0,3.447,0.74
dqn_order_random,random,90401,75.7029,1.0,3.0039,0.78
dqn_order_random,random,90402,88.1229,1.0,2.0814,0.74
dqn_order_random,random,90403,48.2314,1.0,0.9714,0.74
dqn_order_random,random,90404,64.5131,1.0,1.9571,0.7
dqn_order_random,random,90405,87.177,1.0,3.7074,0.72
dqn_order_random,random,90406,64.935,1.0,2.6349,0.72
dqn_order_random,random,90407,117.83,1.0,4.7596,0.74
dqn_order_random,random,90408,46.3371,1.0,1.4775,0.74
dqn_order_random,random,90409,83.3313,1.0,2.4951,0.74
dqn_order_random,random,90410,64.631,1.0,2.5447,0.74
dqn_order_random,random,90411,92.5051,1.0,3.5706,0.74
dqn_order_random,random,90412,59.4628,1.0,1.4771,0.72
dqn_order_random,random,90413,95.4044,1.0,6.6213,0.74
dqn_order_random,random,90414,131.7339,1.0,19.579,0.8
dqn_order_random,random,90415,50.2903,1.0,0.3473,0.72
dqn_order_random,random,90416,133.7697,1.0,4.2115,0.72
dqn_order_random,random,90417,23.7395,1.0,0.1427,0.7
dqn_order_random,random,90418,77.5586,1.0,2.8377,0.78
dqn_order_random,random,90419,117.2351,1.0,4.3902,0.74
dqn_order_random,random,90420,102.663,1.0,3.1537,0.74
dqn_order_random,random,90421,95.7404,1.0,3.075,0.74
dqn_order_random,random,90422,50.376,1.0,2.0314,0.7
dqn_order_random,random,90423,87.1873,1.0,2.5752,0.74
dqn_order_random,random,90424,114.9314,1.0,3.5895,0.74
dqn_order_random,random,90425,80.2541,1.0,2.4476,0.7
dqn_order_random,random,90426,66.9047,1.0,2.324,0.72
dqn_order_random,random,90427,126.1333,1.0,5.6566,0.76
dqn_order_random,random,90428,157.7569,1.0,7.5395,0.74
dqn_order_random,random,90429,172.4706,1.0,38.0502,0.78
dqn_order_random,random,90430,73.7215,1.0,2.771,0.74
dqn_order_random,random,90431,67.1008,1.0,2.4901,0.76
dqn_order_random,random,90432,79.5274,1.0,1.4716,0.72
dqn_order_random,random,90433,19.11,1.0,0.601,0.72
dqn_order_random,random,90434,87.9954,1.0,2.8734,0.74
dqn_order_random,random,90435,24.6302,1.0,0.5991,0.6
dqn_order_random,random,90436,100.5549,1.0,4.4074,0.74
dqn_order_random,random,90437,145.0092,1.0,8.0828,0.76
dqn_order_random,random,90438,37.9864,1.0,1.7952,0.72
dqn_order_random,random,90439,116.7461,1.0,3.2094,0.74
dqn_order_random,random,90440,54.0645,1.0,1.6388,0.68
dqn_order_random,random,90441,128.2254,1.0,4.6521,0.78
dqn_order_random,random,90442,59.9288,1.0,1.646,0.74
dqn_order_random,random,90443,92.4013,1.0,2.9513,0.74
dqn_order_random,random,90444,83.166,1.0,1.8405,0.72
dqn_order_random,random,90445,98.2831,1.0,3.6633,0.7
