pool,treated,tier,class,fr12_usd,fr4_usd,sw12,old,covered
0xcc9c758705eccae6d4426a002b79c489b8250b53,1,3000,weth-pair,3510.66,708.76,3605,0,1
0x8661ae7918c0115af9e3691662f605e9c550ddc9,1,3000,weth-pair,3220.94,900.08,4710,1,1
0x88051b0eea095007d3bef21ab287be961f3d8598,1,3000,weth-pair,41414.46,17507.72,8033,1,1
0x3b685307c8611afb2a9e83ebc8743dc20480716e,1,10000,weth-pair,16379.94,2950.98,3288,1,1
0xede8dd046586d22625ae7ff2708f879ef7bdb8cf,1,3000,weth-pair,4484.71,1290.49,8145,1,1
0xf763bb342eb3d23c02ccb86312422fe0c1c17e94,1,10000,other,533587.31,413851.46,10509,1,1
0x617949d197187811cded926a20437d20e6320be9,1,3000,btc-pair,0.0,0.0,4991,0,0
0x8f0cb37cdff37e004e0088f563e5fe39e05ccc5b,1,3000,btc-pair,9356.96,2934.19,5929,1,1
0x8592064903ef23d34e4d5aaaed40abf6d96af186,0,10000,other,56242.23,13457.48,4763,1,1
0xc931d9fefd06a8361d8057501f1ec522cf69c573,1,10000,other,40590.85,5751.42,5245,0,1
0xb0f10200d9e66076d49aaca63328c928bee6e89b,0,100,stable-stable,0.0,0.0,4146,0,0
0xc789130a5b127449f439d17267744d24d69a5876,1,3000,weth-pair,6527.83,1768.51,5509,1,1
0x738ea57616fa9dab407e9e7920d446eaf4e7eaaa,1,3000,weth-pair,1612.53,461.83,2996,1,1
0x15153da0e9e13cfc167b3d417d3721bf545479bb,1,3000,weth-pair,2936.36,841.03,4387,1,1
0x4d1eff861316396dd1915f69b49f4c2d7b11590d,1,10000,weth-pair,26266.75,6199.73,5648,1,1
0x49af5fb5de94c93ee83ad488fe8cab30b0ef35f2,1,3000,weth-pair,330.2,146.68,3002,1,1
0xba2a013b29631d3277bbbce80c970d06c1bda0c3,1,10000,weth-pair,53492.87,15357.81,5792,1,1
0x6a888fb73f13104473a4bdfb1beb220ac1eafda3,1,3000,weth-pair,21758.69,18665.44,11180,1,1
0xb9eece312e033458260cc864477ca7abb4d5bb75,1,10000,other,4151.44,2001.13,2541,0,1
0xc2fa5fd1c1ad37701ef1b26c5f0680ac807e3efd,1,10000,weth-pair,21871.94,9220.91,4869,1,1
0x09aa63b7a22eefc372196aacd5b53441ed390bfb,1,3000,other,12012.42,2599.85,7171,1,1
0xc1cd3d0913f4633b43fcddbcd7342bc9b71c676f,1,10000,weth-pair,339558.53,89194.58,5713,1,1
0x4d1ad4a9e61bc0e5529d64f38199ccfca56f5a42,1,3000,other,6096.33,2823.88,6504,1,1
