gap_bucket,vol_bucket,flow_bucket,volume_bucket,prev_fee_bucket,action_fee_bps,value_estimate,visit_count
1,0,2,0,3,3,0.029979,47
1,0,2,0,3,6,0.002824,7
1,0,2,0,3,10,0.002465,9
1,0,2,0,3,20,0.002414,7
1,0,2,0,3,30,0.000789,5
1,0,2,0,4,3,0.021414,25
1,0,2,0,4,6,0.003469,10
1,0,2,0,4,10,0.001209,6
1,0,2,0,4,20,0.002685,11
1,0,2,0,4,30,0.000232,6
1,0,2,1,0,3,0.040883,815
1,0,2,1,0,6,0.033232,77
1,0,2,1,0,10,0.029011,76
1,0,2,1,0,20,0.027110,73
1,0,2,1,0,30,0.033449,80
1,0,2,1,1,3,0.040891,388
1,0,2,1,1,6,0.024171,58
1,0,2,1,1,10,0.019258,60
1,0,2,1,1,20,0.022110,72
1,0,2,1,1,30,0.020525,60
1,0,2,1,2,3,0.040595,183
1,0,2,1,2,6,0.021528,65
1,0,2,1,2,10,0.010875,51
1,0,2,1,2,20,0.020028,90
1,0,2,1,2,30,0.021358,50
1,0,2,1,3,3,0.027069,62
1,0,2,1,3,6,0.020475,61
1,0,2,1,3,10,0.018784,56
1,0,2,1,3,20,0.038109,266
1,0,2,1,3,30,0.024852,59
1,0,2,1,4,3,0.040867,194
1,0,2,1,4,6,0.020502,77
1,0,2,1,4,10,0.018156,50
1,0,2,1,4,20,0.016378,43
1,0,2,1,4,30,0.016843,36
1,0,2,2,0,3,0.041215,8120
1,0,2,2,0,6,0.041078,850
1,0,2,2,0,10,0.040942,639
1,0,2,2,0,20,0.040727,610
1,0,2,2,0,30,0.040752,582
1,0,2,2,1,3,0.041189,10007
1,0,2,2,1,6,0.041100,985
1,0,2,2,1,10,0.040918,646
1,0,2,2,1,20,0.040746,582
1,0,2,2,1,30,0.040756,617
1,0,2,2,2,3,0.041204,2581
1,0,2,2,2,6,0.041045,255
1,0,2,2,2,10,0.040859,269
