scenario,policy,seed,delta_hedged_pnl,delta_fee_revenue,delta_lvr,delta_volume,delta_normal_hedged_pnl,delta_toxic_hedged_pnl
campbell_rl_normal,fixed_6bps,5059,-0.0183,-0.0169,0.0014,189.7789,-0.0183,0.0000
campbell_rl_normal,fixed_6bps,5060,-0.0116,-0.0142,-0.0025,182.1157,-0.0116,0.0000
campbell_rl_normal,fixed_6bps,5061,-0.0118,-0.0141,-0.0024,177.8280,-0.0118,0.0000
campbell_rl_normal,fixed_6bps,5062,-0.0165,-0.0167,-0.0002,184.8552,-0.0165,0.0000
campbell_rl_normal,fixed_6bps,5063,-0.0143,-0.0134,0.0009,184.3383,-0.0143,0.0000
campbell_rl_normal,fixed_6bps,5064,-0.0164,-0.0163,0.0000,188.3488,-0.0164,0.0000
campbell_rl_normal,fixed_6bps,5065,-0.0126,-0.0147,-0.0021,184.7351,-0.0126,0.0000
campbell_rl_normal,fixed_6bps,5066,-0.0161,-0.0158,0.0003,186.8741,-0.0161,0.0000
campbell_rl_normal,fixed_6bps,5067,-0.0166,-0.0147,0.0018,187.4057,-0.0166,0.0000
campbell_rl_normal,fixed_6bps,5068,-0.0100,-0.0124,-0.0024,178.6712,-0.0100,0.0000
campbell_rl_normal,fixed_6bps,5069,-0.0177,-0.0181,-0.0004,183.9373,-0.0177,0.0000
campbell_rl_normal,fixed_6bps,5070,-0.0159,-0.0151,0.0009,185.4537,-0.0159,0.0000
campbell_rl_normal,fixed_6bps,5071,-0.0225,-0.0175,0.0050,192.7471,-0.0225,0.0000
campbell_rl_normal,fixed_6bps,5072,-0.0167,-0.0153,0.0014,187.7425,-0.0167,0.0000
campbell_rl_normal,fixed_6bps,5073,-0.0169,-0.0169,-0.0000,186.9603,-0.0169,0.0000
campbell_rl_normal,fixed_6bps,5074,-0.0175,-0.0188,-0.0013,185.7674,-0.0175,0.0000
campbell_rl_normal,fixed_6bps,5075,-0.0137,-0.0112,0.0026,184.5067,-0.0137,0.0000
campbell_rl_normal,fixed_6bps,5076,-0.0188,-0.0187,0.0001,188.0063,-0.0188,0.0000
campbell_rl_normal,fixed_6bps,5077,-0.0107,-0.0141,-0.0034,183.3349,-0.0107,0.0000
campbell_rl_normal,fixed_6bps,5078,-0.0181,-0.0181,-0.0000,190.4590,-0.0181,0.0000
campbell_rl_normal,fixed_6bps,5079,-0.0116,-0.0155,-0.0039,180.5512,-0.0116,0.0000
campbell_rl_normal,fixed_6bps,5080,-0.0126,-0.0139,-0.0013,178.0595,-0.0126,0.0000
campbell_rl_normal,fixed_6bps,5081,-0.0181,-0.0196,-0.0015,184.4748,-0.0181,0.0000
campbell_rl_normal,fixed_6bps,5082,-0.0154,-0.0161,-0.0008,186.2243,-0.0154,0.0000
campbell_rl_normal,fixed_6bps,5083,-0.0187,-0.0173,0.0014,189.6547,-0.0187,0.0000
campbell_rl_normal,fixed_6bps,5084,-0.0116,-0.0135,-0.0020,178.9588,-0.0116,0.0000
campbell_rl_normal,fixed_6bps,5085,-0.0153,-0.0167,-0.0014,185.0276,-0.0153,0.0000
campbell_rl_normal,fixed_6bps,5086,-0.0126,-0.0125,0.0001,185.4410,-0.0126,0.0000
campbell_rl_normal,fixed_6bps,5087,-0.0113,-0.0116,-0.0003,183.9144,-0.0113,0.0000
campbell_rl_normal,fixed_6bps,5088,-0.0147,-0.0134,0.0013,185.6933,-0.0147,0.0000
campbell_rl_normal,fixed_6bps,5089,-0.0138,-0.0127,0.0010,186.9178,-0.0138,0.0000
campbell_rl_normal,fixed_6bps,5090,-0.0186,-0.0131,0.0054,189.8782,-0.0186,0.0000
campbell_rl_normal,fixed_6bps,5091,-0.0148,-0.0159,-0.0011,185.1500,-0.0148,0.0000
campbell_rl_normal,fixed_6bps,5092,-0.0130,-0.0171,-0.0041,181.9338,-0.0130,0.0000
campbell_rl_normal,fixed_6bps,5093,-0.0173,-0.0168,0.0005,184.7738,-0.0173,0.0000
campbell_rl_normal,fixed_6bps,5094,-0.0166,-0.0149,0.0016,188.2206,-0.0166,0.0000
campbell_rl_normal,fixed_6bps,5095,-0.0170,-0.0135,0.0035,183.9665,-0.0170,0.0000
campbell_rl_normal,fixed_6bps,5096,-0.0121,-0.0149,-0.0028,180.0327,-0.0121,0.0000
campbell_rl_normal,fixed_6bps,5097,-0.0149,-0.0153,-0.0005,184.4714,-0.0149,0.0000
campbell_rl_normal,fixed_6bps,5098,-0.0177,-0.0155,0.0022,184.5579,-0.0177,0.0000
campbell_rl_normal,fixed_6bps,5099,-0.0191,-0.0210,-0.0020,185.9060,-0.0191,0.0000
campbell_rl_normal,fixed_6bps,5100,-0.0119,-0.0140,-0.0021,180.8105,-0.0119,0.0000
campbell_rl_normal,fixed_6bps,5101,-0.0185,-0.0201,-0.0016,184.8740,-0.0185,0.0000
campbell_rl_normal,fixed_6bps,5102,-0.0198,-0.0191,0.0006,190.2521,-0.0198,0.0000
campbell_rl_normal,fixed_6bps,5103,-0.0158,-0.0136,0.0022,187.9712,-0.0158,0.0000
campbell_rl_normal,fixed_6bps,5104,-0.0185,-0.0178,0.0006,185.4011,-0.0185,0.0000
campbell_rl_normal,fixed_6bps,5105,-0.0165,-0.0155,0.0010,186.4643,-0.0165,0.0000
campbell_rl_normal,fixed_6bps,5106,-0.0112,-0.0130,-0.0018,182.1411,-0.0112,0.0000
campbell_rl_normal,fixed_6bps,5107,-0.0123,-0.0162,-0.0038,183.0441,-0.0123,0.0000
campbell_rl_normal,fixed_6bps,5108,-0.0178,-0.0173,0.0005,189.8047,-0.0178,0.0000
campbell_rl_normal,fixed_6bps,5109,-0.0195,-0.0154,0.0042,189.0819,-0.0195,0.0000
campbell_rl_normal,fixed_6bps,5110,-0.0178,-0.0169,0.0009,188.2430,-0.0178,0.0000
campbell_rl_normal,fixed_6bps,5111,-0.0169,-0.0143,0.0026,187.7403,-0.0169,0.0000
campbell_rl_normal,fixed_6bps,5112,-0.0121,-0.0103,0.0018,184.0946,-0.0121,0.0000
campbell_rl_normal,fixed_6bps,5113,-0.0134,-0.0126,0.0008,185.1921,-0.0134,0.0000
campbell_rl_normal,fixed_6bps,5114,-0.0125,-0.0134,-0.0010,182.6925,-0.0125,0.0000
campbell_rl_normal,fixed_6bps,5115,-0.0179,-0.0130,0.0049,189.0563,-0.0179,0.0000
campbell_rl_normal,fixed_6bps,5116,-0.0136,-0.0159,-0.0023,182.5396,-0.0136,0.0000
campbell_rl_normal,fixed_6bps,5117,-0.0186,-0.0203,-0.0018,188.9418,-0.0186,0.0000
campbell_rl_normal,fixed_6bps,5118,-0.0153,-0.0150,0.0003,182.2732,-0.0153,0.0000
campbell_rl_normal,fixed_6bps,5119,-0.0167,-0.0124,0.0043,188.9619,-0.0167,0.0000
campbell_rl_normal,fixed_6bps,5120,-0.0152,-0.0153,-0.0001,185.9322,-0.0152,0.0000
campbell_rl_normal,fixed_6bps,5121,-0.0160,-0.0152,0.0008,186.4066,-0.0160,0.0000
campbell_rl_normal,fixed_6bps,5122,-0.0127,-0.0116,0.0011,187.1184,-0.0127,0.0000
campbell_rl_normal,fixed_6bps,5123,-0.0166,-0.0126,0.0040,187.8344,-0.0166,0.0000
campbell_rl_normal,fixed_6bps,5124,-0.0156,-0.0132,0.0024,183.8894,-0.0156,0.0000
campbell_rl_normal,fixed_6bps,5125,-0.0174,-0.0149,0.0025,187.4019,-0.0174,0.0000
campbell_rl_normal,fixed_6bps,5126,-0.0139,-0.0165,-0.0026,185.0647,-0.0139,0.0000
campbell_rl_normal,fixed_6bps,5127,-0.0109,-0.0121,-0.0012,180.4920,-0.0109,0.0000
campbell_rl_normal,fixed_6bps,5128,-0.0105,-0.0128,-0.0023,177.8602,-0.0105,0.0000
campbell_rl_normal,fixed_6bps,5129,-0.0137,-0.0152,-0.0015,180.8242,-0.0137,0.0000
campbell_rl_normal,fixed_6bps,5130,-0.0154,-0.0157,-0.0003,183.1955,-0.0154,0.0000
