elasticity,lambda,policy,seed,avg_fee_bps,fee_std_bps,fee_min_bps,fee_max_bps,hedged_pnl,fee_revenue,fee_revenue_arb,fee_revenue_fund,lvr,fundamental_volume,arb_volume,volume,fundamental_count,arb_count,avg_fundamental_size,avg_arb_size,mean_retention,fund_demand_lost,final_external_price
E1_none,0,oracle_gap,5142,6.8997,0.6449,6.0008,9.7893,0.4368,0.8488,0.0261,0.8227,0.4121,1129.4267,29.3837,1158.8104,1440,145,0.784324,0.202646,1.000000,0.0000,1.075476
E1_none,0,oracle_gap,5143,6.8605,0.6483,6.0001,9.6045,0.4274,0.8059,0.0242,0.7817,0.3785,1129.3015,28.8865,1158.1881,1440,142,0.784237,0.203426,1.000000,0.0000,1.005973
E1_none,0,oracle_gap,5144,6.8960,0.6736,6.0009,10.0025,0.4146,0.8310,0.0295,0.8015,0.4164,1135.6142,34.0308,1169.6450,1440,158,0.788621,0.215385,1.000000,0.0000,1.007153
E1_none,0,oracle_gap,5145,6.8851,0.6636,6.0002,9.5574,0.4319,0.8427,0.0286,0.8141,0.4108,1119.7487,32.0583,1151.8070,1440,146,0.777603,0.219577,1.000000,0.0000,1.028422
E1_none,0,oracle_gap,5146,6.8660,0.6608,6.0000,10.2154,0.4297,0.8198,0.0266,0.7932,0.3901,1132.3945,30.8436,1163.2381,1440,153,0.786385,0.201592,1.000000,0.0000,0.975398
E1_none,0,oracle_gap,5147,6.8585,0.6422,6.0001,9.6906,0.4345,0.8088,0.0230,0.7858,0.3743,1136.5463,27.4187,1163.9650,1440,149,0.789268,0.184018,1.000000,0.0000,0.986399
E1_none,0,oracle_gap,5148,6.8818,0.6571,6.0002,9.3194,0.4199,0.8155,0.0258,0.7897,0.3956,1141.7721,31.0276,1172.7997,1440,160,0.792897,0.193922,1.000000,0.0000,0.950467
E1_none,0,oracle_gap,5149,6.8858,0.6610,6.0019,9.6111,0.4046,0.7975,0.0277,0.7698,0.3929,1153.5747,33.8679,1187.4426,1440,149,0.801094,0.227301,1.000000,0.0000,0.908929
E1_none,0,oracle_gap,5150,6.8920,0.6803,6.0002,9.9364,0.4116,0.8250,0.0309,0.7941,0.4134,1145.3387,36.5621,1181.9008,1440,175,0.795374,0.208926,1.000000,0.0000,0.994745
E1_none,0,oracle_gap,5151,6.8612,0.6513,6.0002,9.2435,0.4217,0.8012,0.0248,0.7764,0.3795,1128.5273,29.5492,1158.0765,1440,147,0.783700,0.201015,1.000000,0.0000,0.912577
E1_none,0,oracle_gap,5152,6.8593,0.6552,6.0017,9.5272,0.4314,0.8146,0.0254,0.7892,0.3832,1126.5370,30.1194,1156.6564,1440,156,0.782317,0.193073,1.000000,0.0000,1.002689
E1_none,0,oracle_gap,5153,6.9086,0.6945,6.0015,9.7252,0.4148,0.8589,0.0351,0.8238,0.4441,1118.3536,39.1334,1157.4871,1440,180,0.776634,0.217408,1.000000,0.0000,1.050109
E1_none,0,oracle_gap,5154,6.8939,0.6579,6.0006,9.6830,0.4232,0.8312,0.0276,0.8035,0.4080,1137.6813,32.2822,1169.9635,1440,162,0.790056,0.199273,1.000000,0.0000,0.987941
E1_none,0,oracle_gap,5155,6.8535,0.6380,6.0006,9.5045,0.4426,0.8174,0.0227,0.7948,0.3748,1117.0451,26.0240,1143.0691,1440,129,0.775726,0.201736,1.000000,0.0000,1.006596
E1_none,0,oracle_gap,5156,6.8513,0.6449,6.0020,9.4786,0.4372,0.8095,0.0238,0.7857,0.3723,1130.2023,27.9818,1158.1842,1440,140,0.784863,0.199870,1.000000,0.0000,0.991039
E1_none,0,oracle_gap,5157,6.8770,0.6387,6.0010,9.6906,0.4498,0.8450,0.0225,0.8225,0.3952,1124.5713,25.5227,1150.0939,1440,149,0.780952,0.171293,1.000000,0.0000,1.043921
E1_none,0,oracle_gap,5158,6.8898,0.6800,6.0015,10.0711,0.4227,0.8438,0.0317,0.8121,0.4211,1120.6677,35.5861,1156.2538,1440,159,0.778241,0.223812,1.000000,0.0000,1.053090
