scenario,policy,seed,avg_fee_bps,hedged_pnl,lp_vs_hold,fee_revenue,lvr,volume,arb_count,fundamental_count,final_external_price,final_pool_price,normal_hedged_pnl,toxic_hedged_pnl,normal_steps,toxic_steps
campbell_rl_normal,tabular_rl,5371,6.3708,0.4829,-0.0030,0.8710,0.3881,1466.7304,145,1438,1.003544,1.002841,0.4829,0.0000,1440,0
campbell_rl_normal,tabular_rl,5372,6.4806,0.4802,-0.0630,0.8789,0.3987,1467.1726,137,1437,0.984178,0.983784,0.4802,0.0000,1440,0
campbell_rl_normal,tabular_rl,5373,6.4424,0.4829,-0.1164,0.8729,0.3900,1464.5097,134,1439,0.978529,0.977844,0.4829,0.0000,1440,0
campbell_rl_normal,tabular_rl,5374,6.3354,0.4738,-0.0253,0.8600,0.3862,1493.2203,148,1439,0.989932,0.989239,0.4738,0.0000,1440,0
campbell_rl_normal,tabular_rl,5375,6.3778,0.4865,-0.0121,0.8651,0.3786,1469.0092,129,1439,0.993032,0.992634,0.4865,0.0000,1440,0
campbell_rl_normal,tabular_rl,5376,6.3604,0.4929,-0.0675,0.8748,0.3819,1454.4761,150,1439,0.983636,0.983242,0.4929,0.0000,1440,0
campbell_rl_normal,tabular_rl,5377,6.3826,0.4934,-0.0977,0.8468,0.3534,1454.2081,119,1436,0.980308,0.979329,0.4934,0.0000,1440,0
campbell_rl_normal,tabular_rl,5378,6.6215,0.4713,-0.0322,0.8973,0.4260,1460.8033,150,1438,1.011380,1.010976,0.4713,0.0000,1440,0
campbell_rl_normal,tabular_rl,5379,6.5417,0.4835,-0.2332,0.8794,0.3959,1472.6330,137,1436,0.969692,0.969303,0.4835,0.0000,1440,0
campbell_rl_normal,tabular_rl,5380,6.5181,0.4725,-0.0499,0.8955,0.4230,1459.4618,148,1440,0.985922,0.985527,0.4725,0.0000,1440,0
campbell_rl_normal,tabular_rl,5381,6.3917,0.4827,-0.4423,0.9000,0.4172,1473.0533,156,1437,1.042512,1.041782,0.4827,0.0000,1440,0
campbell_rl_normal,tabular_rl,5382,6.4674,0.4798,-0.0088,0.8804,0.4006,1467.6069,152,1438,1.005976,1.005272,0.4798,0.0000,1440,0
campbell_rl_normal,tabular_rl,5383,6.3319,0.4784,-0.9669,0.8520,0.3737,1470.8012,130,1440,0.938776,0.938401,0.4784,0.0000,1440,0
campbell_rl_normal,tabular_rl,5384,6.5778,0.4884,-0.0395,0.8942,0.4058,1451.2567,140,1439,1.012620,1.012215,0.4884,0.0000,1440,0
campbell_rl_normal,tabular_rl,5385,6.5347,0.4712,-0.0446,0.8694,0.3982,1475.5050,157,1438,0.986679,0.986284,0.4712,0.0000,1440,0
