policy,step,external_price,amm_price,oracle_gap_bps,inventory_skew,recent_vol,fee_bps,trade_type,pool_x,pool_y,fee_revenue,lvr
fixed_6bps,109,1993.300753,1992.502954,-2.3313,-0.000117,0.00112537,6.0000,fund,998123.9787,500.9398,0.429139,24.2222
fixed_6bps,110,1994.429855,1993.631605,-9.6614,-0.000483,0.00111938,6.0000,fund,998406.6317,500.7980,0.648923,24.4155
fixed_6bps,111,1995.086207,1994.287693,-7.2909,-0.000365,0.00104603,6.0000,fund,998570.9022,500.7156,0.577972,24.5083
fixed_6bps,112,1993.015553,1992.217868,6.3830,0.000319,0.00107667,6.0000,fund,998052.5707,500.9756,0.310999,24.5699
fixed_6bps,113,1993.751811,1992.953832,-7.6938,-0.000385,0.00107326,6.0000,fund,998236.9037,500.8831,0.589850,24.6778
fixed_6bps,114,1993.365758,1992.567933,-2.0665,-0.000103,0.00105411,6.0000,fund,998140.2539,500.9316,0.421214,24.6485
fixed_6bps,115,1995.807413,1995.008610,-16.2314,-0.000812,0.00107362,6.0000,arb+fund,998751.3731,500.6251,0.846168,25.2675
fixed_6bps,116,1995.997261,1995.198382,-4.9532,-0.000248,0.00103399,6.0000,fund,998798.8743,500.6013,0.508020,25.2887
fixed_6bps,117,1997.641878,1996.842342,-12.2319,-0.000612,0.00097914,6.0000,fund,999210.2736,500.3952,0.726557,25.6230
fixed_6bps,118,1994.218565,1993.420399,13.1569,0.000657,0.00103375,6.0000,fund,998353.7447,500.8245,0.513917,26.0145
fixed_6bps,119,1998.494276,1997.694399,-25.3885,-0.001271,0.00112733,6.0000,arb+fund,999423.4335,500.2884,1.121633,27.5894
fixed_6bps,120,1996.255070,1995.456089,7.2101,0.000360,0.00115412,6.0000,fund,998863.3763,500.5690,0.336034,27.6791
fixed_6bps,121,2000.193159,1999.392601,-23.6831,-0.001186,0.00118958,6.0000,arb+fund,999848.1387,500.0759,1.070881,29.0447
fixed_6bps,122,2003.375821,2002.573990,-19.8825,-0.000995,0.00118891,6.0000,arb+fund,1000643.2905,499.6786,0.957496,29.9957
fixed_6bps,123,2000.926222,2000.125371,8.2350,0.000412,0.00121223,6.0000,fund,1000031.3424,499.9843,0.367169,30.1251
fixed_6bps,124,2005.683859,2004.881104,-27.7137,-0.001388,0.00130438,6.0000,arb+fund,1001219.5323,499.3910,1.193596,32.0131
fixed_6bps,125,2007.912945,2007.109298,-15.0995,-0.000756,0.00124646,6.0000,fund,1001775.7478,499.1137,0.814678,32.5450
fixed_6bps,126,2007.295508,2006.492108,-0.9277,-0.000046,0.00118294,6.0000,fund,1001621.7119,499.1905,0.388453,32.5070
fixed_6bps,127,2007.188775,2006.385418,-3.4709,-0.000174,0.00112951,6.0000,fund,1001595.0822,499.2037,0.464884,32.4970
fixed_6bps,128,2004.813336,2004.010929,7.8415,0.000392,0.00117046,6.0000,fund,1001002.2300,499.4994,0.355711,32.6107
fixed_6bps,129,2005.823835,2005.021024,-9.0382,-0.000452,0.00116679,6.0000,fund,1001254.4692,499.3736,0.632042,32.7753
fixed_6bps,130,2006.212876,2005.409909,-5.9408,-0.000297,0.00116557,6.0000,fund,1001351.5639,499.3251,0.539002,32.8236
fixed_6bps,131,2004.561776,2003.759470,4.2310,0.000212,0.00119065,6.0000,fund,1000939.4261,499.5307,0.247283,32.8283
fixed_6bps,132,2003.680525,2002.878572,0.3940,0.000020,0.00116547,6.0000,fund,1000719.3842,499.6406,0.348417,32.7885
fixed_6bps,133,2003.512883,2002.710997,-3.1660,-0.000158,0.00116766,6.0000,fund,1000677.5197,499.6615,0.455303,32.7735
fixed_6bps,134,2007.622519,2006.818987,-24.4644,-0.001225,0.00122644,6.0000,arb+fund,1001703.2962,499.1498,1.096380,34.2362
fixed_6bps,135,2004.533913,2003.731618,11.3995,0.000570,0.00127559,6.0000,fund,1000932.4697,499.5342,0.462496,34.5209
fixed_6bps,136,2003.327906,2002.526094,2.0152,0.000101,0.00128794,6.0000,fund,1000631.3243,499.6845,0.299712,34.4910
